"id_individu";"nom";"prenom";"pays";"annee";"photo"
1;"Albaicon";"Rafael";"Espagne";1919;"https://w.notrecinema.com/images/usercontent/new2018/images/stars/85000/vign/v_153936.jpg"
2;"Milius";"John";"US";1944;"http://www.gstatic.com/tv/thumb/persons/73304/73304_v9_bb.jpg"
3;"DeMille";"Cecil B.";"Ashfield";1881;"https://cdn1.cinenode.com/author_picture/8/cecil-b-demille-8133-264-432.jpg"
4;"Benatar";"Pat";"US";1953;"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/PAT_BENATAR_2007-09-07_%28cropped%29.jpg/260px-PAT_BENATAR_2007-09-07_%28cropped%29.jpg"
5;"Lang";"Fritz";"Autriche";1890;"https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Fritz_Lang_%281969%29.jpg/1200px-Fritz_Lang_%281969%29.jpg"
6;"Beller";"Kathleen";"US";1956;"https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Kathleen_Beller_on_the_set_of_Touched.jpg/220px-Kathleen_Beller_on_the_set_of_Touched.jpg"
7;"Mastorakis";"Nico";"Grèce";1941;"https://m.media-amazon.com/images/M/MV5BMTQyMDM2MDY4OV5BMl5BanBnXkFtZTcwNTgwMDQ5MQ@@._V1_UY317_CR81,0,214,317_AL_.jpg"
8;"Drury";"David";"UK";1933;"https://img.discogs.com/lH8spt_8ByPV4-Dt5G19pyDzpRI=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/A-5856953-1550352979-7817.jpeg.jpg"
9;"Bening";"Annette";"Topeka";1958;"https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/AnnetteBeningSept2013TIFF.jpg/220px-AnnetteBeningSept2013TIFF.jpg"
10;"Bjork";"Halvar";"Borgvattnet";1928;"https://upload.wikimedia.org/wikipedia/en/9/9a/HalvarBj%C3%B6rkPic.jpg"
11;"Robinson";"Edward G.";"Roumanie";1893;"https://boowiki.info/images/a540_18/220px-Edward_g_robinson.jpg"
12;"Redgrave";"Michael";"Bristol";1908;"https://anniversaire-celebrite.com/upload/250x333/michael-redgrave-250.jpg"
13;"Burns";"George";"US";1896;"https://upload.wikimedia.org/wikipedia/commons/4/49/George_Burns_1961.JPG"
14;"Rosenberg";"Stuart";"US";1927;"http://www.gstatic.com/tv/thumb/persons/60660/60660_v9_ba.jpg"
15;"Bennett";"Julie";"US";1932;"https://www.animationxpress.com/wp-content/uploads/2020/04/julie-benett-251x300.jpg"
16;"Berger";"Senta";"Autriche";1941;"https://fr.web.img6.acsta.net/pictures/14/01/03/10/57/552127.jpg"
17;"Beecher";"Janet";"Jefferson City";1884;"https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Janet_Beecher_LCCN2014703048_%28cropped%29.jpg/220px-Janet_Beecher_LCCN2014703048_%28cropped%29.jpg"
18;"Hauser";"Wings";"US";1947;"https://i.pinimg.com/originals/d9/c2/00/d9c200a4f0aa40c4bbe614818f0cf641.jpg"
19;"Wayne";"John";"Winterset";1907;"https://cdn.artphotolimited.com/images/5b9fc1ecac06024957be8806/700x700/les-geants-de-l-ouest.jpg"
20;"Gould";"Elliott";"US";1938;"https://www.notrecinema.com/images/usercontent/kpitalrisk/images/stars/16000/vign/v_2056.jpg"
21;"Rush";"Richard";"US";1929;"https://upload.wikimedia.org/wikipedia/commons/8/89/Thomas_Waterman_Wood_-_Richard_Rush_-_NPG.71.2_-_National_Portrait_Gallery.jpg"
22;"Belford";"Christine";"Amityville";1949;"https://www.rsdoublage.com/acteurs/belford_christine.jpg"
23;"Bergen";"Candice";"US";1946;"https://tel.img.pmdstatic.net/fit/https.3A.2F.2Fprd2-tel-epg-img.2Es3-eu-west-1.2Eamazonaws.2Ecom.2FproviderPerson.2F14737e207acbcb6a.2Ejpeg/300x300/quality/80/candice-bergen.jpeg"
24;"Bergman";"Ingrid";"SE";1915;"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwUpFMbwS-iruPCebi2r6qmhbOF7B2ysGJDA&usqp=CAU"
25;"Nichols";"Mike";"DE";1931;"https://www.google.com/search?q=nichols+mike&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk01BrTSEW_sDvAqNBl0z64BnPSV7sw:1618137482584&tbm=isch&source=iu&ictx=1&fir=fwuYOmSpOjC4qM%252CcdJXvVv-y4u3GM%252C%252Fm%252F0hskw&vet=1&usg=AI4_-kSbm-ioLVBE8Fvme0zfNX_R0-zRcQ&sa=X&ved=2ahUKEwiujePu__XvAhUHmRoKHfwJB6MQ_B16BAgsEAE#imgrc=fwuYOmSpOjC4qM"
26;"Boyer";"Charles";"Figeac";1899;"https://www.google.com/search?q=boyer+charles&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk03vgnvQT6-X0dbF8kh77jJ4JJOptw:1618137523401&tbm=isch&source=iu&ictx=1&fir=9IKL_NJTlJM4vM%252CbCEsbvK3985ENM%252C%252Fm%252F0p9gg&vet=1&usg=AI4_-kQ7v-iaoIYwOAjP6uVM8vAuJWqypQ&sa=X&ved=2ahUKEwiKsp6CgPbvAhVR14UKHbV3DHoQ_B16BAguEAE#imgrc=9IKL_NJTlJM4vM"
27;"Newman";"Paul";"Shaker Heights";1925;"https://www.google.com/search?q=newman+paul&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk02XVB5isEn9eLiCvtQQFmvmCDmvhA:1618137559774&tbm=isch&source=iu&ictx=1&fir=KtS2tBqxD1KIgM%252C2ox23Mn0pCXAgM%252C%252Fm%252F0d6d2&vet=1&usg=AI4_-kTxZK1ODo-dZ_VPatGTj5souMrMJg&sa=X&ved=2ahUKEwiXq8qTgPbvAhVQOhoKHRO_CIgQ_B16BAg9EAE#imgrc=KtS2tBqxD1KIgM"
28;"Blanc";"Mel";"US";1908;"https://www.google.com/search?q=blanc+mel&client=firefox-b-d&bih=750&biw=1536&hl=fr&sxsrf=ALeKk00-AKLUeJF7ePwY1DytIL_Sjnyj8A:1618137606457&tbm=isch&source=iu&ictx=1&fir=TGtN6SfJjsyphM%252CnkSnx8WcejCHLM%252C%252Fm%252F0c5vh&vet=1&usg=AI4_-kSS2tADKjcicPir93Y44KDc0d5oCg&sa=X&ved=2ahUKEwiLyeupgPbvAhUyzYUKHQeMBqgQ_B16BAgpEAE#imgrc=TGtN6SfJjsyphM"
